id,base_id,text,domain,intent,description,variant,noise_level,emoji_role,split,source
refund_after_cancellation_b007_v01,refund_after_cancellation_b007,"pls order cancel ho gaya, ab refund ka kya status hai? cancellation ke baad refund kab aayega",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,clean,0_clean,none,train,original_constructed
refund_after_cancellation_b007_v02,refund_after_cancellation_b007,"pls order cancel ho gaya, ab refund ka kya status hai? cancellation ke baad refund kab aayega",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand,1_light,none,train,original_constructed
refund_after_cancellation_b007_v03,refund_after_cancellation_b007,"pls ordr cancel ho gaya, ab refund ka kya status hai? cancellation ke baad refund kab aayega",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,code_mix,1_light,none,train,original_constructed
refund_after_cancellation_b007_v04,refund_after_cancellation_b007,"pls order cancle ho gaya, ab reufnd ka kya sattus hai? cancellaiton ke baad rfeund kab aayga",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,typo,2_medium,none,train,original_constructed
refund_after_cancellation_b007_v05,refund_after_cancellation_b007,"pls order cancel ho gaya, ab refund ka kya status hai? cancellation ke baad refund kab aayega 😕",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,emoji,1_light,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b007_v06,refund_after_cancellation_b007,"pls order cancel ho gaya, ab refund ka kya status hai?? cancellation ke baad refund kab aayega...",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,punctuation,1_light,none,train,original_constructed
refund_after_cancellation_b007_v07,refund_after_cancellation_b007,"pls odrer cncel ho gaya, ab reufnd ka kya sttus hai? cancelation ke baad reufnd kab aayega",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand_typo,2_medium,none,train,original_constructed
refund_after_cancellation_b007_v08,refund_after_cancellation_b007,"pls order cancel ho gaya, ab refund ka kya status hai? cancellation ke baad refund kab aayega 😕",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand_emoji,1_light,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b007_v09,refund_after_cancellation_b007,"pls ordr cancel ho gaya, ab refund ka kya status hai? cancellation ke baad refund kab aayega 😕",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,code_mix_emoji,2_medium,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b007_v10,refund_after_cancellation_b007,"pls order cancel hooo gaya, ab refund ka kya status hai? cancellation ke baad refund kab aayega 😭",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,stress,2_medium,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b008_v01,refund_after_cancellation_b008,cancellation ke baad paise kab milenge? cancelled order ka refund track karna hai?,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,clean,0_clean,none,validation,original_constructed
refund_after_cancellation_b008_v02,refund_after_cancellation_b008,cancellation ke baad paise kab milenge? cancelled order ka refund track karna hai?,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand,1_light,none,validation,original_constructed
refund_after_cancellation_b008_v03,refund_after_cancellation_b008,cancellation ke baad paise kab milenge? cancelled ordr ka refund track karna hai?,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,code_mix,1_light,none,validation,original_constructed
refund_after_cancellation_b008_v04,refund_after_cancellation_b008,canellation ke baad paise kab milegne? canceled odrer ka refnd tarck karna hai?,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,typo,2_medium,none,validation,original_constructed
refund_after_cancellation_b008_v05,refund_after_cancellation_b008,cancellation ke baad paise kab milenge? cancelled order ka refund track karna hai? 😕,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,emoji,1_light,emphasis_or_affect,validation,original_constructed
refund_after_cancellation_b008_v06,refund_after_cancellation_b008,cancellation ke baad paise kab milenge?? cancelled order ka refund track karna hai??,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,punctuation,1_light,none,validation,original_constructed
refund_after_cancellation_b008_v07,refund_after_cancellation_b008,cacnellation ke baad paies kab mielnge? cnacelled oredr ka reufnd tarck kanra hai?,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand_typo,2_medium,none,validation,original_constructed
refund_after_cancellation_b008_v08,refund_after_cancellation_b008,cancellation ke baad paise kab milenge? cancelled order ka refund track karna hai? 😕,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand_emoji,1_light,emphasis_or_affect,validation,original_constructed
refund_after_cancellation_b008_v09,refund_after_cancellation_b008,cancellation ke baad paise kab milenge? cancelled ordr ka refund track karna hai? 😕,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,code_mix_emoji,2_medium,emphasis_or_affect,validation,original_constructed
refund_after_cancellation_b008_v10,refund_after_cancellation_b008,cancellation keee baad paise kab milenge? cancelled order ka refund track karna hai? 😭,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,stress,2_medium,emphasis_or_affect,validation,original_constructed
refund_after_cancellation_b009_v01,refund_after_cancellation_b009,Cancelled order ka refund check karna hai; cancellation ke baad refund kab aayega,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,clean,0_clean,none,train,original_constructed
refund_after_cancellation_b009_v02,refund_after_cancellation_b009,cancelled order ka refund check karna hai; cancellation ke baad refund kab aayega,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand,1_light,none,train,original_constructed
refund_after_cancellation_b009_v03,refund_after_cancellation_b009,Cancelled ordr ka refund check karna hai; cancellation ke baad refund kab aayega,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,code_mix,1_light,none,train,original_constructed
refund_after_cancellation_b009_v04,refund_after_cancellation_b009,Cancelled odrer ka refudn chcek krana hai; cancellation ke baad reufnd kab aayeag,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,typo,2_medium,none,train,original_constructed
refund_after_cancellation_b009_v05,refund_after_cancellation_b009,Cancelled order ka refund check karna hai; cancellation ke baad refund kab aayega 🙏,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,emoji,1_light,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b009_v06,refund_after_cancellation_b009,Cancelled order ka refund check karna hai; cancellation ke baad refund kab aayega...,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,punctuation,1_light,none,train,original_constructed
refund_after_cancellation_b009_v07,refund_after_cancellation_b009,cancelled order ka refun check krana hai; cancellation ke baad refund kab aayega,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand_typo,2_medium,none,train,original_constructed
refund_after_cancellation_b009_v08,refund_after_cancellation_b009,cancelled order ka refund check karna hai; cancellation ke baad refund kab aayega 🙏,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand_emoji,1_light,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b009_v09,refund_after_cancellation_b009,Cancelled ordr ka refund check karna hai; cancellation ke baad refund kab aayega 🙏,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,code_mix_emoji,2_medium,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b009_v10,refund_after_cancellation_b009,Cancelled order kaaa refund check karna hai; cancellation ke baad refund kab aayega 😭,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,stress,2_medium,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b010_v01,refund_after_cancellation_b010,"mujhe lagta hai, order cancel kiya tha, par cancelled order ka refund track karna hai",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,clean,0_clean,none,train,original_constructed
refund_after_cancellation_b010_v02,refund_after_cancellation_b010,"mujhe lagta hai, order cancel kiya tha, par cancelled order ka refund track karna hai",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand,1_light,none,train,original_constructed
refund_after_cancellation_b010_v03,refund_after_cancellation_b010,"mujhe lagta hai, ordr cancel kiya tha, par cancelled ordr ka refund track karna hai",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,code_mix,1_light,none,train,original_constructed
refund_after_cancellation_b010_v04,refund_after_cancellation_b010,"mujeh lagta hai, odrer cnacel kiya tha, par canceleld order ka refnd track kanra hai",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,typo,2_medium,none,train,original_constructed
refund_after_cancellation_b010_v05,refund_after_cancellation_b010,"mujhe lagta hai, order cancel kiya tha, par cancelled order ka refund track karna hai 🙏",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,emoji,1_light,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b010_v06,refund_after_cancellation_b010,"mujhe lagta hai, order cancel kiya tha, par cancelled order ka refund track karna hai...",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,punctuation,1_light,none,train,original_constructed
refund_after_cancellation_b010_v07,refund_after_cancellation_b010,"mujhe lagat hai, oredr cnacel kiya tha, par cancelld oredr ka reund trcak karna hai",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand_typo,2_medium,none,train,original_constructed
refund_after_cancellation_b010_v08,refund_after_cancellation_b010,"mujhe lagta hai, order cancel kiya tha, par cancelled order ka refund track karna hai 🙏",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand_emoji,1_light,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b010_v09,refund_after_cancellation_b010,"mujhe lagta hai, ordr cancel kiya tha, par cancelled ordr ka refund track karna hai 🙏",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,code_mix_emoji,2_medium,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b010_v10,refund_after_cancellation_b010,"mujhe lagta hai, order cancel kiya tha, par cancelled order kaaa refund track karna hai 😭",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,stress,2_medium,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b011_v01,refund_after_cancellation_b011,cancellation refund kab tak process hoga? cancellation ke baad refund kab aayega,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,clean,0_clean,none,train,original_constructed
refund_after_cancellation_b011_v02,refund_after_cancellation_b011,cancellation refund kab tak process hoga? cancellation ke baad refund kab aayega,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand,1_light,none,train,original_constructed
refund_after_cancellation_b011_v03,refund_after_cancellation_b011,cancellation refund kab tak process hoga? cancellation ke baad refund kab aayega,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,code_mix,1_light,none,train,original_constructed
refund_after_cancellation_b011_v04,refund_after_cancellation_b011,cnacellation rfeund kab tak proess hoga? canclelation ke baad refnud kab aayeg,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,typo,2_medium,none,train,original_constructed
refund_after_cancellation_b011_v05,refund_after_cancellation_b011,cancellation refund kab tak process hoga? cancellation ke baad refund kab aayega 😕,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,emoji,1_light,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b011_v06,refund_after_cancellation_b011,cancellation refund kab tak process hoga?? cancellation ke baad refund kab aayega...,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,punctuation,1_light,none,train,original_constructed
refund_after_cancellation_b011_v07,refund_after_cancellation_b011,cancelation reufnd kab tak process hoga? canecllation ke baad rfeund kab aayeag,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand_typo,2_medium,none,train,original_constructed
refund_after_cancellation_b011_v08,refund_after_cancellation_b011,cancellation refund kab tak process hoga? cancellation ke baad refund kab aayega 😕,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand_emoji,1_light,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b011_v09,refund_after_cancellation_b011,cancellation refund kab tak process hoga? cancellation ke baad refund kab aayega 😕,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,code_mix_emoji,2_medium,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b011_v10,refund_after_cancellation_b011,cancellation refund kab tak process hoga? cancellation keee baad refund kab aayega 😭,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,stress,2_medium,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b012_v01,refund_after_cancellation_b012,"pls cancel ke baad amount return hone ka update do, cancelled order ka refund track karna hai",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,clean,0_clean,none,validation,original_constructed
refund_after_cancellation_b012_v02,refund_after_cancellation_b012,"pls cancel ke baad amount return hone ka update do, cancelled order ka refund track karna hai",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand,1_light,none,validation,original_constructed
refund_after_cancellation_b012_v03,refund_after_cancellation_b012,"pls cancel ke baad amount return hone ka update do, cancelled ordr ka refund track karna hai",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,code_mix,1_light,none,validation,original_constructed
refund_after_cancellation_b012_v04,refund_after_cancellation_b012,"pls cnacel ke baad aomunt reutrn hone ka updtae do, cancellde ordre ka refnd trcak krana hai",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,typo,2_medium,none,validation,original_constructed
refund_after_cancellation_b012_v05,refund_after_cancellation_b012,"pls cancel ke baad amount return hone ka update do, cancelled order ka refund track karna hai 🙏",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,emoji,1_light,emphasis_or_affect,validation,original_constructed
refund_after_cancellation_b012_v06,refund_after_cancellation_b012,"pls cancel ke baad amount return hone ka update do, cancelled order ka refund track karna hai...",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,punctuation,1_light,none,validation,original_constructed
refund_after_cancellation_b012_v07,refund_after_cancellation_b012,"pls cncel ke baad aomunt rteurn hone ka updtae do, cnacelled order ka refund trcak karan hai",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand_typo,2_medium,none,validation,original_constructed
refund_after_cancellation_b012_v08,refund_after_cancellation_b012,"pls cancel ke baad amount return hone ka update do, cancelled order ka refund track karna hai 🙏",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand_emoji,1_light,emphasis_or_affect,validation,original_constructed
refund_after_cancellation_b012_v09,refund_after_cancellation_b012,"pls cancel ke baad amount return hone ka update do, cancelled ordr ka refund track karna hai 🙏",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,code_mix_emoji,2_medium,emphasis_or_affect,validation,original_constructed
refund_after_cancellation_b012_v10,refund_after_cancellation_b012,"pls cancel keee baad amount return hone ka update do, cancelled order ka refund track karna hai 😭",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,stress,2_medium,emphasis_or_affect,validation,original_constructed
refund_after_cancellation_b013_v01,refund_after_cancellation_b013,"order cancel ho gaya, ab refund ka kya status hai? order cancel kar diya tha?",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,clean,0_clean,none,train,original_constructed
refund_after_cancellation_b013_v02,refund_after_cancellation_b013,"order cancel ho gaya, ab refund ka kya status hai? order cancel kar diya tha?",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand,1_light,none,train,original_constructed
refund_after_cancellation_b013_v03,refund_after_cancellation_b013,"ordr cancel ho gaya, ab refund ka kya status hai? ordr cancel kar diya tha?",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,code_mix,1_light,none,train,original_constructed
refund_after_cancellation_b013_v04,refund_after_cancellation_b013,"oredr cncel ho gaya, ab refund ka kya statsu hai? odrer cancle kar diya tha?",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,typo,2_medium,none,train,original_constructed
refund_after_cancellation_b013_v05,refund_after_cancellation_b013,"order cancel ho gaya, ab refund ka kya status hai? order cancel kar diya tha? 😕",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,emoji,1_light,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b013_v06,refund_after_cancellation_b013,"order cancel ho gaya, ab refund ka kya status hai?? order cancel kar diya tha??",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,punctuation,1_light,none,train,original_constructed
refund_after_cancellation_b013_v07,refund_after_cancellation_b013,"order cnacel ho gaya, ab refund ka kya status hai? odrer cancle kar diya tha?",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand_typo,2_medium,none,train,original_constructed
refund_after_cancellation_b013_v08,refund_after_cancellation_b013,"order cancel ho gaya, ab refund ka kya status hai? order cancel kar diya tha? 😕",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand_emoji,1_light,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b013_v09,refund_after_cancellation_b013,"ordr cancel ho gaya, ab refund ka kya status hai? ordr cancel kar diya tha? 😕",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,code_mix_emoji,2_medium,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b013_v10,refund_after_cancellation_b013,"order cancel hooo gaya, ab refund ka kya status hai? order cancel kar diya tha? 😭",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,stress,2_medium,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b014_v01,refund_after_cancellation_b014,Cancellation ke baad paise kab milenge? cancellation refund pending hai,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,clean,0_clean,none,train,original_constructed
refund_after_cancellation_b014_v02,refund_after_cancellation_b014,cancellation ke baad paise kab milenge? cancellation refund pending hai,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand,1_light,none,train,original_constructed
refund_after_cancellation_b014_v03,refund_after_cancellation_b014,Cancellation ke baad paise kab milenge? cancellation refund pending hai,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,code_mix,1_light,none,train,original_constructed
refund_after_cancellation_b014_v04,refund_after_cancellation_b014,Canclelation ke baad pasie kab milenge? cnacellation rfeund pending hai,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,typo,2_medium,none,train,original_constructed
refund_after_cancellation_b014_v05,refund_after_cancellation_b014,Cancellation ke baad paise kab milenge? cancellation refund pending hai 😕,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,emoji,1_light,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b014_v06,refund_after_cancellation_b014,Cancellation ke baad paise kab milenge?? cancellation refund pending hai...,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,punctuation,1_light,none,train,original_constructed
refund_after_cancellation_b014_v07,refund_after_cancellation_b014,cacnellation ke baad pasie kab mielnge? cancellation refudn penidng hai,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand_typo,2_medium,none,train,original_constructed
refund_after_cancellation_b014_v08,refund_after_cancellation_b014,cancellation ke baad paise kab milenge? cancellation refund pending hai 😕,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand_emoji,1_light,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b014_v09,refund_after_cancellation_b014,Cancellation ke baad paise kab milenge? cancellation refund pending hai 😕,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,code_mix_emoji,2_medium,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b014_v10,refund_after_cancellation_b014,Cancellation keee baad paise kab milenge? cancellation refund pending hai 😭,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,stress,2_medium,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b015_v01,refund_after_cancellation_b015,"mujhe lagta hai, cancelled order ka refund check karna hai; order cancel kar diya tha",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,clean,0_clean,none,train,original_constructed
refund_after_cancellation_b015_v02,refund_after_cancellation_b015,"mujhe lagta hai, cancelled order ka refund check karna hai; order cancel kar diya tha",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand,1_light,none,train,original_constructed
refund_after_cancellation_b015_v03,refund_after_cancellation_b015,"mujhe lagta hai, cancelled ordr ka refund check karna hai; ordr cancel kar diya tha",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,code_mix,1_light,none,train,original_constructed
refund_after_cancellation_b015_v04,refund_after_cancellation_b015,"mjuhe lgata hai, cacnelled order ka refnd cehck kanra hai; ordre cancel kar diya tha",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,typo,2_medium,none,train,original_constructed
refund_after_cancellation_b015_v05,refund_after_cancellation_b015,"mujhe lagta hai, cancelled order ka refund check karna hai; order cancel kar diya tha 🙏",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,emoji,1_light,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b015_v06,refund_after_cancellation_b015,"mujhe lagta hai, cancelled order ka refund check karna hai; order cancel kar diya tha...",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,punctuation,1_light,none,train,original_constructed
refund_after_cancellation_b015_v07,refund_after_cancellation_b015,"mujeh lgata hai, canceleld odrer ka reufnd chekc kanra hai; oredr cancel kar diya tha",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand_typo,2_medium,none,train,original_constructed
refund_after_cancellation_b015_v08,refund_after_cancellation_b015,"mujhe lagta hai, cancelled order ka refund check karna hai; order cancel kar diya tha 🙏",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand_emoji,1_light,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b015_v09,refund_after_cancellation_b015,"mujhe lagta hai, cancelled ordr ka refund check karna hai; ordr cancel kar diya tha 🙏",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,code_mix_emoji,2_medium,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b015_v10,refund_after_cancellation_b015,"mujhe lagta hai, cancelled order kaaa refund check karna hai; order cancel kar diya tha 😭",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,stress,2_medium,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b016_v01,refund_after_cancellation_b016,"order cancel kiya tha, par cancellation refund pending hai",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,clean,0_clean,none,train,original_constructed
refund_after_cancellation_b016_v02,refund_after_cancellation_b016,"order cancel kiya tha, par cancellation refund pending hai",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand,1_light,none,train,original_constructed
refund_after_cancellation_b016_v03,refund_after_cancellation_b016,"ordr cancel kiya tha, par cancellation refund pending hai",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,code_mix,1_light,none,train,original_constructed
refund_after_cancellation_b016_v04,refund_after_cancellation_b016,"order cancel kiya tha, par cancellation refnud penidng hai",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,typo,2_medium,none,train,original_constructed
refund_after_cancellation_b016_v05,refund_after_cancellation_b016,"order cancel kiya tha, par cancellation refund pending hai 🙏",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,emoji,1_light,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b016_v06,refund_after_cancellation_b016,"order cancel kiya tha, par cancellation refund pending hai...",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,punctuation,1_light,none,train,original_constructed
refund_after_cancellation_b016_v07,refund_after_cancellation_b016,"order cancle kiya tha, par cancellatoin rfeund pedning hai",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand_typo,2_medium,none,train,original_constructed
refund_after_cancellation_b016_v08,refund_after_cancellation_b016,"order cancel kiya tha, par cancellation refund pending hai 🙏",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand_emoji,1_light,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b016_v09,refund_after_cancellation_b016,"ordr cancel kiya tha, par cancellation refund pending hai 🙏",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,code_mix_emoji,2_medium,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b016_v10,refund_after_cancellation_b016,"order cancel kiya tha, parrr cancellation refund pending hai 😭",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,stress,2_medium,emphasis_or_affect,train,original_constructed
refund_after_cancellation_b017_v01,refund_after_cancellation_b017,pls cancellation refund kab tak process hoga? order cancel kar diya tha,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,clean,0_clean,none,validation,original_constructed
refund_after_cancellation_b017_v02,refund_after_cancellation_b017,pls cancellation refund kab tak process hoga? order cancel kar diya tha,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand,1_light,none,validation,original_constructed
refund_after_cancellation_b017_v03,refund_after_cancellation_b017,pls cancellation refund kab tak process hoga? ordr cancel kar diya tha,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,code_mix,1_light,none,validation,original_constructed
refund_after_cancellation_b017_v04,refund_after_cancellation_b017,pls cancellation refudn kab tak proces hoga? order canecl kar diya tha,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,typo,2_medium,none,validation,original_constructed
refund_after_cancellation_b017_v05,refund_after_cancellation_b017,pls cancellation refund kab tak process hoga? order cancel kar diya tha 😕,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,emoji,1_light,emphasis_or_affect,validation,original_constructed
refund_after_cancellation_b017_v06,refund_after_cancellation_b017,pls cancellation refund kab tak process hoga?? order cancel kar diya tha...,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,punctuation,1_light,none,validation,original_constructed
refund_after_cancellation_b017_v07,refund_after_cancellation_b017,pls cnacellation rfeund kab tak proecss hoga? oredr cacnel kar diya tha,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand_typo,2_medium,none,validation,original_constructed
refund_after_cancellation_b017_v08,refund_after_cancellation_b017,pls cancellation refund kab tak process hoga? order cancel kar diya tha 😕,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand_emoji,1_light,emphasis_or_affect,validation,original_constructed
refund_after_cancellation_b017_v09,refund_after_cancellation_b017,pls cancellation refund kab tak process hoga? ordr cancel kar diya tha 😕,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,code_mix_emoji,2_medium,emphasis_or_affect,validation,original_constructed
refund_after_cancellation_b017_v10,refund_after_cancellation_b017,plsss cancellation refund kab tak process hoga? order cancel kar diya tha 😭,Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,stress,2_medium,emphasis_or_affect,validation,original_constructed
refund_after_cancellation_b018_v01,refund_after_cancellation_b018,"cancel ke baad amount return hone ka update do, cancellation refund pending hai?",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,clean,0_clean,none,test,original_constructed
refund_after_cancellation_b018_v02,refund_after_cancellation_b018,"cancel ke baad amount return hone ka update do, cancellation refund pending hai?",Returns & Refunds,refund_after_cancellation,Ask when a refund will arrive after cancellation,shorthand,1_light,none,test,original_constructed
